Region,Country,City,Month,Day,Year,AvgTemp (C)
Asia,India,Delhi,8,6,1995,29
Asia,India,Delhi,8,7,1995,27.61
Asia,India,Delhi,8,8,1995,26.56
Asia,India,Delhi,8,9,1995,27.17
Asia,India,Delhi,8,10,1995,28.06
Asia,India,Delhi,8,11,1995,29.78
Asia,India,Delhi,8,12,1995,30.67
Asia,India,Delhi,8,13,1995,29.67
Asia,India,Delhi,8,14,1995,29.61
Asia,India,Delhi,8,15,1995,29.72
Asia,India,Delhi,8,16,1995,29.89
Asia,India,Delhi,8,17,1995,30.67
Asia,India,Delhi,8,18,1995,29.89
Asia,India,Delhi,8,19,1995,27.89
Asia,India,Delhi,8,20,1995,27.11
Asia,India,Delhi,8,21,1995,28.78
Asia,India,Delhi,8,22,1995,28.44
Asia,India,Delhi,8,23,1995,28.44
Asia,India,Delhi,8,24,1995,29.89
Asia,India,Delhi,8,25,1995,28.11
Asia,India,Delhi,8,26,1995,29.17
Asia,India,Delhi,8,27,1995,29.44
Asia,India,Delhi,8,28,1995,26.39
Asia,India,Delhi,8,29,1995,25.72
Asia,India,Delhi,8,30,1995,25.44
Asia,India,Delhi,8,31,1995,28.22
Asia,India,Delhi,9,1,1995,30.06
Asia,India,Delhi,9,2,1995,31.06
Asia,India,Delhi,9,3,1995,27.17
Asia,India,Delhi,9,4,1995,24.28
Asia,India,Delhi,9,5,1995,27.39
Asia,India,Delhi,9,6,1995,28.61
Asia,India,Delhi,9,7,1995,28.11
Asia,India,Delhi,9,8,1995,26.44
Asia,India,Delhi,9,9,1995,25.06
Asia,India,Delhi,9,10,1995,27.78
Asia,India,Delhi,9,11,1995,28.83
Asia,India,Delhi,9,12,1995,28.72
Asia,India,Delhi,9,13,1995,28.67
Asia,India,Delhi,9,14,1995,28.22
Asia,India,Delhi,9,15,1995,30.17
Asia,India,Delhi,9,16,1995,30
Asia,India,Delhi,9,17,1995,29.78
Asia,India,Delhi,9,18,1995,28.28
Asia,India,Delhi,9,19,1995,29.33
Asia,India,Delhi,9,20,1995,29.06
Asia,India,Delhi,9,21,1995,29.83
Asia,India,Delhi,9,22,1995,30.39
Asia,India,Delhi,9,23,1995,29.78
Asia,India,Delhi,9,24,1995,29.94
Asia,India,Delhi,9,25,1995,29.56
Asia,India,Delhi,9,26,1995,30.44
Asia,India,Delhi,9,27,1995,30.22
Asia,India,Delhi,9,28,1995,30.72
Asia,India,Delhi,9,29,1995,30.28
Asia,India,Delhi,9,30,1995,30.5
Asia,India,Delhi,10,1,1995,30.11
Asia,India,Delhi,10,2,1995,30.56
Asia,India,Delhi,10,3,1995,30.33
Asia,India,Delhi,10,4,1995,29.72
Asia,India,Delhi,10,5,1995,29.06
Asia,India,Delhi,10,6,1995,28.89
Asia,India,Delhi,10,7,1995,28.72
Asia,India,Delhi,10,8,1995,30.44
Asia,India,Delhi,10,9,1995,29.33
Asia,India,Delhi,10,10,1995,27.89
Asia,India,Delhi,10,11,1995,28.28
Asia,India,Delhi,10,12,1995,27.39
Asia,India,Delhi,10,13,1995,25.56
Asia,India,Delhi,10,14,1995,25.94
Asia,India,Delhi,10,15,1995,26.78
Asia,India,Delhi,10,16,1995,24.39
Asia,India,Delhi,10,17,1995,25.28
Asia,India,Delhi,10,18,1995,25.67
Asia,India,Delhi,10,19,1995,27.89
Asia,India,Delhi,10,20,1995,25.72
Asia,India,Delhi,10,21,1995,25.78
Asia,India,Delhi,10,22,1995,23.56
Asia,India,Delhi,10,23,1995,22.11
Asia,India,Delhi,10,24,1995,20.33
Asia,India,Delhi,10,25,1995,22.39
Asia,India,Delhi,10,26,1995,22.56
Asia,India,Delhi,10,27,1995,23.28
Asia,India,Delhi,10,28,1995,21.94
Asia,India,Delhi,10,29,1995,23.11
Asia,India,Delhi,10,30,1995,23.39
Asia,India,Delhi,10,31,1995,20.94
Asia,India,Delhi,11,1,1995,21.39
Asia,India,Delhi,11,2,1995,20.67
Asia,India,Delhi,11,3,1995,21.06
Asia,India,Delhi,11,4,1995,21.33
Asia,India,Delhi,11,5,1995,20.83
Asia,India,Delhi,11,6,1995,20.61
Asia,India,Delhi,11,7,1995,21.06
Asia,India,Delhi,11,8,1995,21.83
Asia,India,Delhi,11,9,1995,22.44
Asia,India,Delhi,11,10,1995,21.61
Asia,India,Delhi,11,11,1995,20.67
Asia,India,Delhi,11,12,1995,21.17
Asia,India,Delhi,11,13,1995,20.28
Asia,India,Delhi,11,14,1995,20.33
Asia,India,Delhi,11,15,1995,18.67
Asia,India,Delhi,11,16,1995,19.94
Asia,India,Delhi,11,17,1995,20
Asia,India,Delhi,11,18,1995,19.61
Asia,India,Delhi,11,19,1995,19
Asia,India,Delhi,11,20,1995,18.28
Asia,India,Delhi,11,21,1995,18.28
Asia,India,Delhi,11,22,1995,18.83
Asia,India,Delhi,11,23,1995,17.28
Asia,India,Delhi,11,24,1995,17.83
Asia,India,Delhi,11,25,1995,16.17
Asia,India,Delhi,11,26,1995,17.56
Asia,India,Delhi,11,27,1995,18.17
Asia,India,Delhi,11,28,1995,18.33
Asia,India,Delhi,11,29,1995,18.78
Asia,India,Delhi,11,30,1995,16.44
Asia,India,Delhi,12,1,1995,13.17
Asia,India,Delhi,12,2,1995,14
Asia,India,Delhi,12,3,1995,14.44
Asia,India,Delhi,12,4,1995,14.67
Asia,India,Delhi,12,5,1995,15.56
Asia,India,Delhi,12,6,1995,15.89
Asia,India,Delhi,12,7,1995,16.28
Asia,India,Delhi,12,8,1995,16.72
Asia,India,Delhi,12,9,1995,18
Asia,India,Delhi,12,10,1995,17.72
Asia,India,Delhi,12,11,1995,17.67
Asia,India,Delhi,12,12,1995,16.89
Asia,India,Delhi,12,13,1995,15.39
Asia,India,Delhi,12,14,1995,15.72
Asia,India,Delhi,12,15,1995,15.22
Asia,India,Delhi,12,16,1995,15.89
Asia,India,Delhi,12,17,1995,16.56
Asia,India,Delhi,12,18,1995,17.28
Asia,India,Delhi,12,19,1995,15.83
Asia,India,Delhi,12,20,1995,17.72
Asia,India,Delhi,12,21,1995,16.94
Asia,India,Delhi,12,22,1995,15.22
Asia,India,Delhi,12,23,1995,13.72
Asia,India,Delhi,12,24,1995,12.83
Asia,India,Delhi,12,25,1995,12.83
Asia,India,Delhi,12,26,1995,12.67
Asia,India,Delhi,12,27,1995,13.22
Asia,India,Delhi,12,28,1995,14.17
Asia,India,Delhi,12,29,1995,13.28
Asia,India,Delhi,12,30,1995,13.33
Asia,India,Delhi,12,31,1995,14.78
Asia,India,Delhi,1,1,1996,15.39
Asia,India,Delhi,1,2,1996,13.89
Asia,India,Delhi,1,3,1996,15.22
Asia,India,Delhi,1,4,1996,13.22
Asia,India,Delhi,1,5,1996,12.28
Asia,India,Delhi,1,6,1996,12.39
Asia,India,Delhi,1,7,1996,12.72
Asia,India,Delhi,1,8,1996,12.56
Asia,India,Delhi,1,9,1996,12.67
Asia,India,Delhi,1,10,1996,12.72
Asia,India,Delhi,1,11,1996,11.78
Asia,India,Delhi,1,12,1996,14.11
Asia,India,Delhi,1,13,1996,14.22
Asia,India,Delhi,1,14,1996,16.94
Asia,India,Delhi,1,15,1996,14.89
Asia,India,Delhi,1,16,1996,16.33
Asia,India,Delhi,1,17,1996,14.11
Asia,India,Delhi,1,18,1996,13.22
Asia,India,Delhi,1,19,1996,11.89
Asia,India,Delhi,1,20,1996,12.44
Asia,India,Delhi,1,21,1996,13.39
Asia,India,Delhi,1,22,1996,15.94
Asia,India,Delhi,1,23,1996,15.5
Asia,India,Delhi,1,24,1996,14.11
Asia,India,Delhi,1,25,1996,14.78
Asia,India,Delhi,1,26,1996,12.5
Asia,India,Delhi,1,27,1996,14.06
Asia,India,Delhi,1,28,1996,13.28
Asia,India,Delhi,1,29,1996,13.22
Asia,India,Delhi,1,30,1996,12.33
Asia,India,Delhi,1,31,1996,12.72
Asia,India,Delhi,2,1,1996,13.67
Asia,India,Delhi,2,2,1996,13.78
Asia,India,Delhi,2,3,1996,14.39
Asia,India,Delhi,2,4,1996,14.44
Asia,India,Delhi,2,5,1996,15.28
Asia,India,Delhi,2,6,1996,16.56
Asia,India,Delhi,2,7,1996,17
Asia,India,Delhi,2,8,1996,18.72
Asia,India,Delhi,2,9,1996,15.5
Asia,India,Delhi,2,10,1996,12.78
Asia,India,Delhi,2,11,1996,15.33
Asia,India,Delhi,2,12,1996,15.06
Asia,India,Delhi,2,13,1996,15.83
Asia,India,Delhi,2,14,1996,17.83
Asia,India,Delhi,2,15,1996,18
Asia,India,Delhi,2,16,1996,16.89
Asia,India,Delhi,2,17,1996,17.39
Asia,India,Delhi,2,18,1996,17.72
